Content Manifest for Depot 323911

Manifest ID / date     : 8103081664213196866 / 2016-02-02 01:35:19
Total number of files  : 6473
Total number of chunks : 10357
Total bytes on disk    : 4746202555
Total bytes compressed : 1985737152

          Size Chunks File SHA                                 Flags Name
          1772      1 F22D5BC10B0C2F3ABCEC9B351B1692E081B5388E     0 core\materials\deferred_lights\ssao_random_tga_d3317505.vtex_c
          3240      1 999C1CC343F7DCBB4B8A12FE4B1E7C02FE65595D     0 core\materials\deferred_lights\ssao_strong.vmat_c
          2496      1 4E0088B97423FC09BE77E32F21A709DD1597037E     0 core\materials\deferred_lights\sunlight.vmat_c
             0      0 0000000000000000000000000000000000000000    64 core\materials\dev
          5664      1 A35A67C8CD8ECE8799C4EED3114344723E371925     0 core\materials\dev\basement_tarp.vmat_c
          5664      1 003FF3B6F859CD472BB39CC82D13C29E1EE6F146     0 core\materials\dev\basement_wires.vmat_c
          2536      1 C9391D2A058ECB5BB897DD3C3DD042205C4997C1     0 core\materials\dev\bicubicfilter_alphablended.vmat_c
          2568      1 3DE04D17022519D440902F6ADC0D4C49E6390150     0 core\materials\dev\bicubicfilter_invalphablended.vmat_c
          2840      1 2DD07C4494AD2383644D7EA954DF0B3393A1544F     0 core\materials\dev\black_cheap.vmat_c
          1724      1 449769BD4BF1828EFE6A476A532A3F8C7F82879D     0 core\materials\dev\black_color_tga_b42eb8d0.vtex_c
          2336      1 3502D4A26E3E7E68C33E745421B7D70E7B01F93E     0 core\materials\dev\bloom.vmat_c
       1050356      2 F09D3A69BE9C32BD63BEF20818BC6F7EC0EF04FD     0 core\materials\dev\color_test_image.vtex_c
          2504      1 88255E227ACDD0D93A2B93C7F3BBB385B2D0B503     0 core\materials\dev\convolve_environment_map.vmat_c
          3552      1 FAE06E644909552A36A2E1022F08DADA5A4B6017     0 core\materials\dev\debugoverlay_wireframe.vmat_c
          2666      1 A5CC028D17C35CE63C601683E66F2F1C78B593C5     0 core\materials\dev\debug_nav.vmat_c
          2700      1 B8ED63A01D5E9D832E55A19CB7DB6E9144463548     0 core\materials\dev\debug_nav_translucent.vmat_c
          2632      1 70848F6520D1B0CE8C58F96EB26BE6553196853A     0 core\materials\dev\debug_nav_wireframe.vmat_c
          2722      1 79F7289CF06607B8BE5A8E3F00BD454B99FF5DA0     0 core\materials\dev\debug_physics.vmat_c
          2778      1 BF7040C407C37BF62C05FE8F492189A27114DAC6     0 core\materials\dev\debug_physics_seethrough.vmat_c
          2712      1 25DFD632ADCAB5E7962FF831EF385864210F6143     0 core\materials\dev\debug_physics_translucent.vmat_c
          2744      1 A400EDDD64F5C62AF4053FB7B31FEAEA3DF4A5FB     0 core\materials\dev\debug_physics_translucent_seethrough.vmat_c
          2488      1 5F9FFA6A95BC86588C3500BFFFC56153196240E9     0 core\materials\dev\debug_show_texture.vmat_c
          2320      1 B21C6E513E4603FC09631FE402FC034C0D5D853B     0 core\materials\dev\debug_sh_visualization.vmat_c
          3248      1 0D0F41218113B7B98E03108000C6BCED4DA507FE     0 core\materials\dev\debug_solid.vmat_c
          2504      1 050BB910B56A79906FA85FEF93358880F37D866F     0 core\materials\dev\debug_sunshadow_vis.vmat_c
          3568      1 2828919EBFE23AA37354D11EB0DAED96C6CFCC6D     0 core\materials\dev\debug_ui.vmat_c
          3616      1 188C06A36225313B8C1A7D6AC4A83BA7BF367B5F     0 core\materials\dev\debug_ui_alphatexture.vmat_c
          3744      1 EC1C2E4442B3A02CB4F37487E352946910770A4E     0 core\materials\dev\debug_wireframe.vmat_c
          2648      1 269704D0B58FE1E799BAF901AA666188303BF1B8     0 core\materials\dev\debug_wireframe_2d.vmat_c
          2504      1 149A0F2BD79C376BD88E606C63F0F25711AC6F1F     0 core\materials\dev\deferredfogtonemapsrgb.vmat_c
          2464      1 FC675983EE665968FC8888814EEABD7E342C7AA4     0 core\materials\dev\deferredshading.vmat_c
          2528      1 ED7C62E27F9FF1C685C9EC9E5A300886BD12F89E     0 core\materials\dev\deferredupsampleindirect.vmat_c
          5712      1 6DD3B6652C17C836AC149989D01B2278C08DAB8A     0 core\materials\dev\dev_measuredoor01.vmat_c
         89140      1 8D88CAD23832EF1881854125B99B7155F1E8FC37     0 core\materials\dev\dev_measuredoor01_color_tga_d7756ae.vtex_c
          5728      1 CB877AE6E63087CACEEC4486046121EB84CA1089     0 core\materials\dev\dev_measuregeneric01.vmat_c
          5752      1 F0C4F5C4F95D829F2ACEB0CD98E10BE4666C224B     0 core\materials\dev\dev_measuregeneric01b.vmat_c
         12700      1 094F333378179D67A2D6C1B8EA062095C926B117     0 core\materials\dev\dev_measuregeneric01b_color_tga_29a1407b.vtex_c
         12700      1 01C17A4C79C210C8C7AC4E0AE6B2DAEC1C09C29F     0 core\materials\dev\dev_measuregeneric01_color_tga_540a969e.vtex_c
          2264      1 BFE0DD7D56BDD48A8E95CF91E05D026FA52BFDB3     0 core\materials\dev\downsample.vmat_c
         34500      1 B8E28B73048B7B1760C1369D03DFEC54082634A6     0 core\materials\dev\film_grain_noise_tga_ee035d08.vtex_c
          2296      1 5E76CC0BB2D3543CC0212B50556A3AD8F246AE92     0 core\materials\dev\gaussian_bloom_blur.vmat_c
          2464      1 39A5FE13FAEB2F2CDB1804650053F0E731122FF3     0 core\materials\dev\generalfilter.vmat_c
          2520      1 927706FC9DC24983ECF38F00FB2BE07EE33118CC     0 core\materials\dev\generalfilter_additive.vmat_c
          2520      1 000EAA22D24485CBCA61F858B58E83878E286D0F     0 core\materials\dev\generalfilter_alphablended.vmat_c
          2544      1 5E5F22BCD71C5B92720858EE02C16E6228DEC17A     0 core\materials\dev\generalfilter_premultipliedalphablend.vmat_c
          2728      1 9C47909A4FC83332124D327028DA9600599F642A     0 core\materials\dev\generalfilter_vertextinted_alphablended.vmat_c
          3464      1 361F478FF467271615AFD5884BAEC6C9F2545DE8     0 core\materials\dev\glowproperty.vmat_c
          5624      1 817074F848E21DECA41ABC37CF2E0DCCA68D4F76     0 core\materials\dev\gray_25.vmat_c
        176492      1 08DF936BF0E34B5D7F4F9D8C0390478E7785AF27     0 core\materials\dev\gray_25_color_tga_d62f87e5.vtex_c
          5624      1 56D3CE86A840ED4DC71D7B46F70A2FD6D9B2EB96     0 core\materials\dev\gray_50.vmat_c
        176492      1 C8CC4ADC0027FF77FA27CAD49442EBEEDF0EC0D0     0 core\materials\dev\gray_50_color_tga_4b0d64ba.vtex_c
          5624      1 18918753CC8009CB4716009F64894120551EDEF0     0 core\materials\dev\gray_75.vmat_c
        176492      1 D82A4B07A701E2CC9463735C268B12E4102414A3     0 core\materials\dev\gray_75_color_tga_c08775ea.vtex_c
          5656      1 FBF6DB3DF2CF408A01A717164B3A9AAE7BF26EF8     0 core\materials\dev\gray_grid_4.vmat_c
        176508      1 D190AEEE33D0843E04D9CE2C2F83D19812C19164     0 core\materials\dev\gray_grid_4_color_tga_7221ceff.vtex_c
          5656      1 CDB364B2985B8CDB49B9EC05F9C3E634E16637A6     0 core\materials\dev\gray_grid_8.vmat_c
        176508      1 38D1F137EB67D0214AA1147D018EE495DF07EF6D     0 core\materials\dev\gray_grid_8_color_tga_d9349967.vtex_c
          2488      1 8B59B9FBDCF44ECC06841E147507D02046034640     0 core\materials\dev\hdrpostprocessing.vmat_c
          7680      1 76B23A95C0AB1FA8E4DC8A875556DB2AA727448B     0 core\materials\dev\houmat_template.vmat_c
          1844      1 EF2FCF21D2FD3079E992A9D34D9DD363426B49EC     0 core\materials\dev\houmat_template_vmat_g_troughness_a272f2b8.vtex_c
          4736      1 E7DC46AD43CB903B3BCE10F5FEA0A34AD6B0EFD2     0 core\materials\dev\mirrortest.vmat_c
          3200      1 53DAFD07D5E714100F4099E00AFF85CBF432F696     0 core\materials\dev\morphcomposite.vmat_c
          5752      1 9F1834C2B1F2CCD0D7E10AF9A881208799CE4D20     0 core\materials\dev\noillum_primary_green.vmat_c
        176540      1 0175FDE7D0C21CFAC9FD90018838DCAF4F5DAFD5     0 core\materials\dev\noillum_primary_green_color_tga_204e1abb.vtex_c
          5592      1 3B056A4105DB8D8352E8B6E7D7F6C07B6D75A2B7     0 core\materials\dev\normal_test.vmat_c
          2552      1 1A7F55A7348327CD6D33589C5A606872B5D50BD6     0 core\materials\dev\occluderdepthoverlay.vmat_c
          2624      1 F68A93CCD19EE5F2DCA0B9D026C986187FBF624F     0 core\materials\dev\occluder_visualization.vmat_c
          2304      1 97B6235EAC0D887E126B6E5B92774EAFAC1EF404     0 core\materials\dev\occlusionproxy.vmat_c
          2296      1 BADEAB3D34326EB8DBDD7CDBEA3E663A848430F0     0 core\materials\dev\occlusionproxy_countdraw.vmat_c
          2344      1 F7DF07F4BF64118628FB0CEF4FE49C5775FBDB60     0 core\materials\dev\occlusionproxy_debugdraw.vmat_c
          2904      1 A64F34C74A605916443A86FFB99E61C2F20E3372     0 core\materials\dev\paintpostprocessing.vmat_c
       1399956      2 B6A9498912A28F715FBDE564A443496301996D29     0 core\materials\dev\panel_normal_tga_842c0122.vtex_c
       1399908      2 8B38D5C9AD51B2DF561DF05D98E66CA7B5F4F4BF     0 core\materials\dev\panel_normal_tga_8ccb9ed0.vtex_c
          3528      1 757D57B3BAA63412CF2AA5B8BD83FA4793AC04F2     0 core\materials\dev\post_process.vmat_c
          5680      1 AE7775D4779E67E41CE1461E99A9F252315977F5     0 core\materials\dev\primary_black.vmat_c
        176508      1 165EA6A58E6765036D3DF09548E6530FFE1DD731     0 core\materials\dev\primary_black_color_tga_8d793cce.vtex_c
          5656      1 6F1382E5F3ECD5C91FE742CCB02A363D47632A2A     0 core\materials\dev\primary_blue.vmat_c
        176508      1 0EF6F03CD3D9253938C3895F62F408201A6B64DD     0 core\materials\dev\primary_blue_color_tga_41d1da7a.vtex_c
          5680      1 DE5D56EA65ACF0430AAB66AFD8AFE9EB2027F3B8     0 core\materials\dev\primary_green.vmat_c
        176508      1 BAA37A4B105D59E8D2CAEF9D052B7C3C39A23BC6     0 core\materials\dev\primary_green_color_tga_878e786b.vtex_c
          5656      1 9B148E8554BF2C5677F388F6B6CDB1268D343526     0 core\materials\dev\primary_red.vmat_c
          6056      1 6427E1FBBA00668C463C660CDA4308FB9CCD0E4F     0 core\materials\dev\primary_red_additive.vmat_c
        176508      1 E2CB0DD2805DABFA343C89C1ADC4D0C74AA1D60E     0 core\materials\dev\primary_red_color_tga_1b3901a4.vtex_c
        176572      1 3127C4E12C4F47D8634140CC839B89118C23D07C     0 core\materials\dev\primary_red_color_tga_ae9bcd91.vtex_c
          5680      1 91747D71B902E51C0B14D2E6C903D273BD42F5FD     0 core\materials\dev\primary_white.vmat_c
        132884      1 0C6BFC8CAC474190363DE3DE0C8D88A07E992313     0 core\materials\dev\primary_white_color.vtex_c
        176588      1 8108F1B51702013E621E8F770B19D49F8F9BC10D     0 core\materials\dev\primary_white_color_tga_21186c76.vtex_c
        176508      1 7CFC13C2DBE8ADE136D20C287F169264C69110B0     0 core\materials\dev\primary_white_color_tga_229133b.vtex_c
        132820      1 C7441A035F0BB244EE070334280801455919A377     0 core\materials\dev\primary_white_color_tga_8758ebc9.vtex_c
        176508      1 1F4EC4DBDF6A8CA8E60B84CE1639B1C82DD71D60     0 core\materials\dev\primary_white_color_tga_f7b257f6.vtex_c
          6096      1 B07DFA7E1BF2499C64BD0461A89E1718CF4D4574     0 core\materials\dev\primary_white_emissive.vmat_c
          6016      1 83D8EE94987647A72295526CBCC3FD5008D3DD5A     0 core\materials\dev\primary_white_trans.vmat_c
          5888      1 1531B22775AA36FCFA3D3F8CCE5D4B692B846285     0 core\materials\dev\primary_white_vertexcolor.vmat_c
          6232      1 E6D1589A7D5409A5D682283CF17248920DA39510     0 core\materials\dev\primary_white_vertexcolor_trans.vmat_c
          1780      1 A240326164A530E8CFBF760556890BC79FA3181F     0 core\materials\dev\randomjitter_psd_a97d0bf2.vtex_c
          5696      1 D44AAA47D13BCAF3BD41AD783B06EACFAEAB5052     0 core\materials\dev\reflectivity_10.vmat_c
          5696      1 821F6A321393BC493A61E1E72A4D2C14C254F983     0 core\materials\dev\reflectivity_10b.vmat_c
          2444      1 8FEE430C6C5814B6E43AAFF23DD7B97EA2B9D259     0 core\materials\dev\reflectivity_10b_color_tga_95e4da41.vtex_c
        176524      1 7D89017C5FDD6BE0E66322308424D4777EBACFFE     0 core\materials\dev\reflectivity_10_color_tga_a07647d8.vtex_c
          5696      1 EFF3C1A895B21EC9A81C1627DC6DE8A6BF28181A     0 core\materials\dev\reflectivity_20.vmat_c
          5696      1 132BF643276BD609BE8E0DD29794CDD8E5EA1BED     0 core\materials\dev\reflectivity_20b.vmat_c
          2444      1 77AD8F662131DEEE351B376E49B27AF1E331D3F5     0 core\materials\dev\reflectivity_20b_color_tga_bad8a263.vtex_c
        176524      1 870DE05C45393EF2797FE44EA9C22EFA7A721382     0 core\materials\dev\reflectivity_20_color_tga_f5bcda7c.vtex_c
          5696      1 43B4EF3F34ACCFB7117C8E2AB3B51DEB42951AB2     0 core\materials\dev\reflectivity_30.vmat_c
          5696      1 9423F4A4BC976CE81332DE9BF57097EA6B393BE7     0 core\materials\dev\reflectivity_30b.vmat_c
          2444      1 24C70FF325203932226156BD0C26E95A9E0DD257     0 core\materials\dev\reflectivity_30b_color_tga_d341b8aa.vtex_c
        176524      1 8204928B3B17BCC6C034D0BB52448A6DABE0D045     0 core\materials\dev\reflectivity_30_color_tga_72d9c5c1.vtex_c
          5696      1 049A057D6290BE764976E85684C2F4D4AD00D562     0 core\materials\dev\reflectivity_40.vmat_c
          5696      1 BEB3B80DF22EC74E202C6E9FC69D65839902DB6F     0 core\materials\dev\reflectivity_40b.vmat_c
          2444      1 F1B447AD67B2AC1A3CC1E936BC4B70EA8660743F     0 core\materials\dev\reflectivity_40b_color_tga_2dff13d8.vtex_c
        176524      1 7F3253F6645C9375BD3E8192FBE7DEEDAA58717C     0 core\materials\dev\reflectivity_40_color_tga_877a3e9f.vtex_c
          5696      1 4F57F352BF4D655B47C2617BF4F15287DC59BBFB     0 core\materials\dev\reflectivity_50.vmat_c
          5696      1 46132E3CB150B439BF6BAF59A9CD852EF4F53A7C     0 core\materials\dev\reflectivity_50b.vmat_c
          2444      1 71C10BAA4EDA76B65CFE772E1559A644935A4FF0     0 core\materials\dev\reflectivity_50b_color_tga_7341740f.vtex_c
        176524      1 4150FAE51553BF0EB1B39A11034C4785A5D1CB1F     0 core\materials\dev\reflectivity_50_color_tga_47ca7bfb.vtex_c
          5696      1 550447BBAEC3485E6971FC4B807EB1A44C0D39BB     0 core\materials\dev\reflectivity_60.vmat_c
          5696      1 A94068FDAABFAA09B6D45988AC259C20641FF7C2     0 core\materials\dev\reflectivity_60b.vmat_c
          2444      1 B652F9FAE3E4AF628D3AF2CC701AF7397DF7DBB7     0 core\materials\dev\reflectivity_60b_color_tga_20a02abf.vtex_c
        176524      1 238F2077EC76831E4B720A4D4B369AB43A319152     0 core\materials\dev\reflectivity_60_color_tga_65a611a7.vtex_c
          5696      1 ACC2FDC590060AD762685D78EAF8A739CEBE69E8     0 core\materials\dev\reflectivity_70.vmat_c
          5696      1 5DE136CC7982EB4C33AE51CFBA29BC449489CB9B     0 core\materials\dev\reflectivity_70b.vmat_c
          2444      1 99B90FA4513AA352623451E0B8DAFA94CD16DB52     0 core\materials\dev\reflectivity_70b_color_tga_256803a7.vtex_c
        176524      1 B43F85B04EA10F86C93474D0960EF5C79515A259     0 core\materials\dev\reflectivity_70_color_tga_1d360871.vtex_c
          5696      1 F24FDF00F2BE3829F94AC5F806977C8786D90F8D     0 core\materials\dev\reflectivity_80.vmat_c
          5696      1 FD4354CCBB564223610FA5D4E1A18CD5C3AD6A11     0 core\materials\dev\reflectivity_80b.vmat_c
          2444      1 035DF3D380AFE962C236FA9831BAAFD80388F821     0 core\materials\dev\reflectivity_80b_color_tga_2fc78aa5.vtex_c
        176524      1 FF13CBCAA0534D6D5D847EE670256DD3F177590F     0 core\materials\dev\reflectivity_80_color_tga_deb6716.vtex_c
          5768      1 ABD5A1DA22CD41355C26BC425136557DE4117276     0 core\materials\dev\reflectivity_90.vmat_c
          5696      1 894628310F6DF811195261DFE6BFC3B5B0D9E88D     0 core\materials\dev\reflectivity_90b.vmat_c
          2444      1 55117EC63ECF5718DE51A8C5EAF80120FB38402D     0 core\materials\dev\reflectivity_90b_color_tga_12afcbdc.vtex_c
        176524      1 7876D586E56898FCEE10E722E6AD0376065B1E7B     0 core\materials\dev\reflectivity_90_color_tga_3c1dc530.vtex_c
          6168      1 9C18D7DD0090FB3B79D4BA745E90AC6FF2D7D7F7     0 core\materials\dev\roomwalls_white.vmat_c
          5696      1 A6C7DADFABEF7C30921EEA04D385F00CFA0A8E15     0 core\materials\dev\scenetest_poolfloor.vmat_c
          2328      1 3F1524F09B9084D02F03DC78231880C0551B9DD4     0 core\materials\dev\screenspacereflectionblur.vmat_c
          3120      1 99AEC4608092CE0B20B5AA5A814555E1C226EDF6     0 core\materials\dev\screenspacereflections.vmat_c
          6200      1 BE9667790DB9C5D8924980F994EB55034B10DB81     0 core\materials\dev\sculpting_phong1.vmat_c
